"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",1633.92864697186,0.0901447473926209,0.106293664615488,0.238026290337691,0.6629521007708
"ENSMUSG00000000003",0,NA,NA,NA,NA
"ENSMUSG00000000028",24.1230622723291,0.0420984881348841,0.144242815870946,0.301896899034734,0.721254940433821
"ENSMUSG00000000031",5.16585779626967,-0.00402727799119371,0.14087153133663,0.808487869175711,NA
"ENSMUSG00000000037",0,NA,NA,NA,NA
"ENSMUSG00000000049",27620.3526754914,0.0656469966692309,0.0887322213649035,0.350657015882507,0.758681816391731
"ENSMUSG00000000056",568.499760667673,0.0191041350532766,0.119292809888222,0.771781750216003,0.941874586545226
"ENSMUSG00000000058",49.139812091546,0.0370020794732741,0.139841741766885,0.422849729300651,0.798704911505373
"ENSMUSG00000000078",128.802493426894,0.0262085598674536,0.121058767445476,0.691666904954015,0.913902458867066
"ENSMUSG00000000085",113.571071155633,-0.287876178407276,0.383859714806059,0.0187018241322822,0.22590541127804
"ENSMUSG00000000088",2151.43414968386,-0.1292213778164,0.123297395463881,0.118385289131048,0.512694323180435
"ENSMUSG00000000093",39.1131891781184,-0.0312345415015711,0.138022831816859,0.493913785028175,0.835424081180066
"ENSMUSG00000000094",0,NA,NA,NA,NA
"ENSMUSG00000000103",0,NA,NA,NA,NA
"ENSMUSG00000000120",49.7501180506094,0.053294710870296,0.146650383933677,0.26030608590788,0.683321717803475
"ENSMUSG00000000125",0,NA,NA,NA,NA
"ENSMUSG00000000126",14.0166818671433,0.0292752842279806,0.143087482828115,0.317313020254974,0.73379135181959
"ENSMUSG00000000127",79.3509478550527,-0.0405831291314635,0.136447322667411,0.452474275792651,0.815214260479887
"ENSMUSG00000000131",563.298168156459,-0.0960629923579225,0.130758148734007,0.217232067308783,0.63862672121235
"ENSMUSG00000000134",462.392095114819,0.0528471597880985,0.12485416259822,0.447895277565498,0.812572460776723
"ENSMUSG00000000142",143.960332531643,-0.585101201600168,0.357408675292284,0.003540377283584,0.0904906816848365
"ENSMUSG00000000148",221.679551422678,-0.00873959723599221,0.114548945095229,0.895832777351939,0.974069737736575
"ENSMUSG00000000149",2214.44792132849,0.114118582695288,0.143857445439119,0.160842333680723,0.573585302331906
"ENSMUSG00000000154",1311.93416790875,0.391695420220974,0.154515403104474,0.000981609173546547,0.0430794638206569
"ENSMUSG00000000157",0.33019456760915,-0.00354622068210342,0.141875350276057,0.505045373180587,NA
"ENSMUSG00000000159",390.467348411298,-0.0319052293477178,0.111093267114805,0.651319868861982,0.89837346952702
"ENSMUSG00000000167",10.7088932475348,-0.00486088230390963,0.140266073578113,0.8152775499379,0.953988416035558
"ENSMUSG00000000168",931.721231780668,-0.230746758212989,0.280228877572742,0.0313496627672252,0.287555809412829
"ENSMUSG00000000171",3142.06482822376,-0.131276392151651,0.113298046901062,0.109561981414059,0.498578960416412
"ENSMUSG00000000182",0,NA,NA,NA,NA
"ENSMUSG00000000183",0,NA,NA,NA,NA
"ENSMUSG00000000184",123.914963360658,0.415794267095557,0.283650891066685,0.00720056178666038,0.136523062348792
"ENSMUSG00000000194",373.791559226469,0.00151878199712462,0.11238000185855,0.984138014786226,0.995220144146978
"ENSMUSG00000000197",0,NA,NA,NA,NA
"ENSMUSG00000000202",0,NA,NA,NA,NA
"ENSMUSG00000000204",2.78808659813776,-0.000270865023618201,0.140920478690448,0.984957043055958,NA
"ENSMUSG00000000214",0,NA,NA,NA,NA
