"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",1633.92864697186,0.00814122835274245,0.0426172536319433,0.364890927590812,0.947038061869552
"ENSMUSG00000000003",0,0,0.451866609611271,NA,NA
"ENSMUSG00000000028",24.1230622723291,-0.0108104337296049,0.0962677191861622,0.538584637659524,0.976876928244281
"ENSMUSG00000000031",5.16585779626967,-0.0119673504817,0.136220693601043,0.375448392098097,NA
"ENSMUSG00000000037",0,0,0.451866609611271,NA,NA
"ENSMUSG00000000049",27620.3526754914,0.349325751624683,0.116486964654472,0.000107455041028547,0.0164159189690852
"ENSMUSG00000000056",568.499760667673,0.00577293545035517,0.0543469390198614,0.63798295804266,0.989201061052846
"ENSMUSG00000000058",49.139812091546,0.00113892178255994,0.080342558900869,0.943584463460889,0.999317345972838
"ENSMUSG00000000078",128.802493426894,0.0162049841251977,0.0739924951883234,0.304017879164971,0.923588944452944
"ENSMUSG00000000085",113.571071155633,0.00693063730586498,0.068130736391456,0.639432673927654,0.989703459693286
"ENSMUSG00000000088",2151.43414968386,-0.0589465327682971,0.117833614244459,0.0422572435035637,0.560328939258191
"ENSMUSG00000000093",39.1131891781184,0.0579612847336189,0.171860411715308,0.0657608778425511,0.658732683123726
"ENSMUSG00000000094",0,0,0.451866609611271,NA,NA
"ENSMUSG00000000103",0,0,0.451866609611271,NA,NA
"ENSMUSG00000000120",49.7501180506094,-0.01018790996415,0.088341138049813,0.553576675330747,0.98086907116807
"ENSMUSG00000000125",0,0,0.451866609611271,NA,NA
"ENSMUSG00000000126",14.0166818671433,-0.0132554658317618,0.115393394639134,0.444532348111905,0.961996881682957
"ENSMUSG00000000127",79.3509478550527,-0.00091818528465025,0.0698851707933086,0.951238486095054,0.999317345972838
"ENSMUSG00000000131",563.298168156459,0.00447435289987432,0.0444055264338016,0.657966969341766,0.993075847023969
"ENSMUSG00000000134",462.392095114819,0.0159487939879007,0.0715849254559398,0.297039285856558,0.922305682631438
"ENSMUSG00000000142",143.960332531643,-0.0230580775466858,0.0980014504869563,0.244001502947927,0.904065555315897
"ENSMUSG00000000148",221.679551422678,-0.0372882058260399,0.10635649801243,0.106543520353616,0.76091882268668
"ENSMUSG00000000149",2214.44792132849,0.0048295331392558,0.0473104935361679,0.653712294799861,0.992787520691869
"ENSMUSG00000000154",1311.93416790875,-0.00714069358098501,0.043490830416115,0.449038067967038,0.961996881682957
"ENSMUSG00000000157",0.33019456760915,0,0.146865201807968,1,NA
"ENSMUSG00000000159",390.467348411298,0.0125484245262835,0.0591498863611637,0.323278988807868,0.930832189780237
"ENSMUSG00000000167",10.7088932475348,-0.00455415716839781,0.117140442714009,0.757616796454024,0.99736464742176
"ENSMUSG00000000168",931.721231780668,0.0014822869087365,0.0576063274711788,0.909795173705513,0.999317345972838
"ENSMUSG00000000171",3142.06482822376,-0.0103025265189717,0.0467566510044039,0.29033652480847,0.921788290026193
"ENSMUSG00000000182",0,0,0.451866609611271,NA,NA
"ENSMUSG00000000183",0,0,0.451866609611271,NA,NA
"ENSMUSG00000000184",123.914963360658,-0.0192590756901655,0.0820333700301108,0.265046419757437,0.913373078485186
"ENSMUSG00000000194",373.791559226469,-0.0138170856373036,0.0641166643094837,0.315778152743371,0.92933209957035
"ENSMUSG00000000197",0,0,0.451866609611271,NA,NA
"ENSMUSG00000000202",0,0,0.451866609611271,NA,NA
"ENSMUSG00000000204",2.78808659813776,-0.00029032791186432,0.125912969509188,0.981425789590796,NA
"ENSMUSG00000000214",0,0,0.451866609611271,NA,NA
"ENSMUSG00000000215",0,0,0.451866609611271,NA,NA
"ENSMUSG00000000216",0,0,0.451866609611271,NA,NA
"ENSMUSG00000000223",0.186079616373136,-0.00184634630116573,0.147531119357969,0.729936684712023,NA
"ENSMUSG00000000244",1.00819280198557,-0.00712865941354943,0.151079478571711,0.301543641252706,NA
"ENSMUSG00000000247",45.610733782298,-0.0408600073723248,0.141574577761719,0.11770415628596,0.780641687223899
"ENSMUSG00000000248",0.25531011790729,0,0.146865201807968,1,NA
"ENSMUSG00000000253",7.56659175829097,-0.0142751820702727,0.136312935447463,0.329851867155262,0.933918688561799
"ENSMUSG00000000263",0,0,0.451866609611271,NA,NA
"ENSMUSG00000000266",80.5000046829894,-0.0098689028315683,0.0802738311212765,0.549477525464144,0.980414255731499
"ENSMUSG00000000275",2016.79474737328,-0.0599949402652892,0.124942126787942,0.0464718726652253,0.587127052845542
"ENSMUSG00000000276",41.4140325524199,0.00108765246001982,0.0746964276850204,0.944350693207557,0.999317345972838
"ENSMUSG00000000278",484.784098669335,0.0132501097276671,0.064094821633688,0.337239069439326,0.936532484730062
"ENSMUSG00000000282",219.705205163689,-0.00714758269718243,0.0625999140030356,0.605657832814542,0.985801667674849
"ENSMUSG00000000290",71.9910706011725,-0.00380976001122999,0.0696921302350281,0.799594029944618,0.999317345972838
"ENSMUSG00000000295",11.9297823737133,-0.0116651709549099,0.123229460983611,0.45965386381527,0.961996881682957
"ENSMUSG00000000296",56.3516581674238,-0.00501667143996502,0.0735849430566484,0.746556194641472,0.996687212714432
"ENSMUSG00000000301",3799.79762667555,0.0239866661247638,0.0728680449320066,0.126115153800821,0.794772266868659
"ENSMUSG00000000303",594.574070270262,-0.846487791428494,0.229949685987976,2.08784489564814e-06,0.000924984883601981
"ENSMUSG00000000305",15.2894211090515,-0.000351092295077431,0.108640920523953,0.982070945293539,0.999471947720659
"ENSMUSG00000000308",0.0930398081865681,-0.000672385791164468,0.146971982054117,0.898828617529751,NA
"ENSMUSG00000000317",21.509117955053,0.0328750588149518,0.149901469296892,0.138976122937924,0.816367743778707
"ENSMUSG00000000318",2.92232116913757,0.00857386745950879,0.136862196220867,0.463088133645611,NA
"ENSMUSG00000000320",5.67076425685929,-0.00539947292531743,0.126342566103981,0.680419256051648,0.996687212714432
"ENSMUSG00000000325",172.358053245702,-0.00949551692285452,0.0682835089850787,0.521092836549299,0.970776737807609
