"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",1633.92864697186,0.203777833279359,0.123578263550983,0.0375558146641786,0.252480694335659
"ENSMUSG00000000003",0,NA,NA,NA,NA
"ENSMUSG00000000028",24.1230622723291,0.0270536699160948,0.179315871166498,0.679245397955237,0.899272316212332
"ENSMUSG00000000031",5.16585779626967,-0.0319173189191901,0.191825056840884,0.268787715946492,NA
"ENSMUSG00000000037",0,NA,NA,NA,NA
"ENSMUSG00000000049",27620.3526754914,0.466297411288051,0.107078554208755,1.54564995956473e-06,0.000132536991048869
"ENSMUSG00000000056",568.499760667673,0.0747149037289788,0.15102288498905,0.447800751414114,0.790926217547506
"ENSMUSG00000000058",49.139812091546,0.0666149706457203,0.185137195014906,0.388603776334881,0.755327989363397
"ENSMUSG00000000078",128.802493426894,0.154084917691133,0.179180692005983,0.158793088576829,0.525039854583867
"ENSMUSG00000000085",113.571071155633,-0.230634778038906,0.260921966039643,0.06185637224995,0.3289377383318
"ENSMUSG00000000088",2151.43414968386,-0.437340004992039,0.145284161663892,0.000337551152530775,0.0109691744945881
"ENSMUSG00000000093",39.1131891781184,0.0932537971609046,0.19699999865403,0.252701318779245,0.643050589296372
"ENSMUSG00000000094",0,NA,NA,NA,NA
"ENSMUSG00000000103",0,NA,NA,NA,NA
"ENSMUSG00000000120",49.7501180506094,0.0388666214085727,0.176739933449379,0.60057540060476,0.869480496651231
"ENSMUSG00000000125",0,NA,NA,NA,NA
"ENSMUSG00000000126",14.0166818671433,0.0111032081786647,0.183672082996226,0.820790300168748,0.948439290918045
"ENSMUSG00000000127",79.3509478550527,-0.071020799348362,0.176882440612997,0.422510555594076,0.775782145221182
"ENSMUSG00000000131",563.298168156459,-0.0771872584987017,0.135369644922128,0.430934068739148,0.780560858852281
"ENSMUSG00000000134",462.392095114819,0.216362999984583,0.192473219109332,0.0733533918228723,0.357900600517104
"ENSMUSG00000000142",143.960332531643,-1.02442119302254,0.315708664137752,5.50385674766121e-05,0.00255775384731347
"ENSMUSG00000000148",221.679551422678,-0.202549803255101,0.181146158405014,0.0829765291376432,0.382532448410828
"ENSMUSG00000000149",2214.44792132849,0.218221416817765,0.175404544806932,0.0645367784376772,0.335454955891735
"ENSMUSG00000000154",1311.93416790875,0.289175299639202,0.146236857816331,0.0112967459656496,0.126568601442716
"ENSMUSG00000000157",0.33019456760915,-0.00603904141902854,0.190102530704242,0.578386328043505,NA
"ENSMUSG00000000159",390.467348411298,0.0513329901276514,0.130011054177653,0.591880440034608,0.866835500006966
"ENSMUSG00000000167",10.7088932475348,-0.0186696672344215,0.187697201699524,0.595312600862281,0.867801580692899
"ENSMUSG00000000168",931.721231780668,-0.274329281697292,0.254955251853415,0.042288650471539,0.269849612407767
"ENSMUSG00000000171",3142.06482822376,-0.277496767830664,0.125762499481717,0.00799539155556149,0.101496417540561
"ENSMUSG00000000182",0,NA,NA,NA,NA
"ENSMUSG00000000183",0,NA,NA,NA,NA
"ENSMUSG00000000184",123.914963360658,0.175865872146975,0.199123272525116,0.121597754292122,0.461743432200657
"ENSMUSG00000000194",373.791559226469,-0.0981478445366704,0.144940786262191,0.328756551250539,0.713410096760769
"ENSMUSG00000000197",0,NA,NA,NA,NA
"ENSMUSG00000000202",0,NA,NA,NA,NA
"ENSMUSG00000000204",2.78808659813776,-0.00108870342354032,0.18797610546202,0.966928848934285,NA
"ENSMUSG00000000214",0,NA,NA,NA,NA
"ENSMUSG00000000215",0,NA,NA,NA,NA
"ENSMUSG00000000216",0,NA,NA,NA,NA
"ENSMUSG00000000223",0.186079616373136,-0.000475889465159688,0.190011523360951,0.963045831563873,NA
"ENSMUSG00000000244",1.00819280198557,-0.00977214730275423,0.190254849172366,0.44838052186742,NA
"ENSMUSG00000000247",45.610733782298,-0.202476648160363,0.291671647611965,0.058470762516322,0.31872409436683
"ENSMUSG00000000248",0.25531011790729,-0.00570536234621938,0.190077296842378,0.650111532771748,NA
"ENSMUSG00000000253",7.56659175829097,-0.012306051046682,0.187911155349167,0.693209397368491,0.905765444398802
"ENSMUSG00000000263",0,NA,NA,NA,NA
"ENSMUSG00000000266",80.5000046829894,0.0446593983109862,0.171406596848776,0.588018828787716,0.86567991287301
"ENSMUSG00000000275",2016.79474737328,-0.028544041646759,0.122815209209332,0.762749153896842,0.931419724662237
"ENSMUSG00000000276",41.4140325524199,0.0747847873590179,0.183896417680332,0.366132325480082,0.73955391154343
"ENSMUSG00000000278",484.784098669335,0.0601615609362334,0.139975217032295,0.537634037724145,0.840274458536173
"ENSMUSG00000000282",219.705205163689,-0.116752209671099,0.176436233752823,0.251130930181143,0.64080496373369
"ENSMUSG00000000290",71.9910706011725,0.0544668564801366,0.170662147074189,0.533951422206901,0.837827542500141
"ENSMUSG00000000295",11.9297823737133,-0.0747406350774668,0.207397646776734,0.0748270447843761,0.362304645620817
"ENSMUSG00000000296",56.3516581674238,-0.0781707525338486,0.181165633646667,0.369524972652996,0.742171084414191
"ENSMUSG00000000301",3799.79762667555,-0.16012847646907,0.121854565622594,0.0984217604162555,0.416202232800653
"ENSMUSG00000000303",594.574070270262,-1.27661663096311,0.226769997424646,9.46587275013704e-10,1.79729878174388e-07
"ENSMUSG00000000305",15.2894211090515,0.131935482221607,0.259266792545586,0.00690409895952014,0.0934086529902543
"ENSMUSG00000000308",0.0930398081865681,-0.000446417429978711,0.190012329036859,0.96304440730934,NA
"ENSMUSG00000000317",21.509117955053,-0.00358244369895692,0.181346796057798,0.944146146373071,0.987917198729181
"ENSMUSG00000000318",2.92232116913757,0.00707213407904341,0.188753703953264,0.760013228195328,NA
"ENSMUSG00000000320",5.67076425685929,-0.0248925511555163,0.190114334035562,0.393272425334669,0.757446594783581
"ENSMUSG00000000325",172.358053245702,-0.143435905610955,0.193530424534219,0.173483121039336,0.546533760535176
"ENSMUSG00000000326",12360.9454756281,-0.319077021822526,0.17595303857516,0.011017917590265,0.125483412761107
"ENSMUSG00000000339",148.729195705487,-0.0449338032594331,0.158644598311362,0.621431095568996,0.877410508519335
"ENSMUSG00000000340",2046.69682405679,0.0259382734756336,0.112871829867713,0.76247565953753,0.931419724662237
"ENSMUSG00000000346",1662.5568715489,0.207162790475892,0.107891297027728,0.0285581413649238,0.215907995950627
"ENSMUSG00000000355",253.496812690673,-0.072596366090159,0.146361785551231,0.459736081373206,0.795930328577451
"ENSMUSG00000000359",4.97214183628791,0.0022987051946872,0.187896713498674,0.936449462634776,NA
"ENSMUSG00000000365",0,NA,NA,NA,NA
"ENSMUSG00000000374",523.614157181629,0.236391648611686,0.159336970950934,0.0406078319399419,0.263663260534327
"ENSMUSG00000000378",332.671710078581,-0.0565886564718812,0.130724859313802,0.561783424652153,0.854945888166611
"ENSMUSG00000000381",0,NA,NA,NA,NA
"ENSMUSG00000000384",538.470687171895,0.0256128576725422,0.122183549811671,0.777431667657549,0.934676100844548
"ENSMUSG00000000385",50.9460275821016,-0.00404757688328261,0.172498709491373,0.953801875029274,0.990804436034003
"ENSMUSG00000000386",14.1306971546114,0.036762123413782,0.192875157432036,0.223330871718925,0.609233572639382
"ENSMUSG00000000392",1.87738192893912,0.00509632672144206,0.188982015972527,0.809797783816639,NA
"ENSMUSG00000000394",0,NA,NA,NA,NA
"ENSMUSG00000000399",1579.40437680849,-0.110621335248093,0.125418363002906,0.256042455171561,0.646125082670903
"ENSMUSG00000000402",1.18053125089428,0.0125372528294655,0.190502530218544,0.251911562016286,NA
"ENSMUSG00000000409",9.04754677228778,0.0370775159256804,0.190571248814929,0.355496507219695,0.732543267822786
"ENSMUSG00000000411",0,NA,NA,NA,NA
"ENSMUSG00000000416",5.06292120594359,-0.0169594783080549,0.188242919467089,0.600153566372341,NA
"ENSMUSG00000000420",966.359222726866,0.0503128916044089,0.118807273754843,0.591476424731909,0.866697916598898
