"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000020593",2806.72599313773,-2.20819771932641,0.238439681150353,9.91359817923578e-22,1.31761633400223e-17
"ENSMUSG00000096674",49211.4249577198,-2.06005766011543,0.269133048117634,1.04995722038e-15,4.65166047202352e-12
"ENSMUSG00000028051",139.577023403801,-2.92128517175816,0.47202892097931,2.65346586177035e-11,3.52672147687897e-08
"ENSMUSG00000029651",15.7089225293582,4.5322950752984,0.741852419040229,6.10525483563918e-11,6.76207850170669e-08
"ENSMUSG00000026691",161.90162592824,2.93786289660958,0.506525310183377,4.05279660856234e-10,3.16857174849424e-07
"ENSMUSG00000030483",42.449417010095,3.01378743996164,0.520523731594162,4.52255893643693e-10,3.33940726801018e-07
"ENSMUSG00000028715",31434.3546951129,4.23901823115649,0.759191712128012,9.71765032906288e-10,6.45786452617873e-07
"ENSMUSG00000027577",67.6633649817881,-2.757341052491,0.542736881924384,1.4277969849309e-08,6.79807601384161e-06
"ENSMUSG00000027533",672.035807716626,-2.58782198531404,0.537623094976909,5.75737969727052e-08,2.55071111854741e-05
"ENSMUSG00000074240",69.1379000762134,-2.63103099588898,0.548408386953555,6.32709969309166e-08,2.62792131315254e-05
"ENSMUSG00000063415",340.238884468723,3.20253950313671,0.728532763250686,4.22359941479821e-07,0.000130548511214146
"ENSMUSG00000091867",69.6041226553125,2.77588510467451,0.653857961905632,1.00416065517138e-06,0.000272373454446589
"ENSMUSG00000096688",33098.0341751798,-2.14393498523469,0.535031650861793,2.24416307900685e-06,0.000532628062197857
"ENSMUSG00000026077",51.4118996396697,2.3678338464203,0.733671902727537,4.20539669620149e-05,0.00522373154104803
"ENSMUSG00000076617",68.9739233006576,-2.04370417602538,0.643483664465171,4.94050989093866e-05,0.00576002780354963
"ENSMUSG00000042439",49.378648513411,2.22427302580972,0.861701308341154,0.00020935955169056,0.0159005588658242
"ENSMUSG00000066072",21137.398226377,2.05368002250444,0.762305053196136,0.000210587884426079,0.0159029748403807
"ENSMUSG00000028712",271.797802667828,2.33491485654133,0.885820559495616,0.00023118239846781,0.0164312580643618
"ENSMUSG00000020639",6.1308823629524,4.29407858941531,1.60964517708161,0.000307509330486555,0.0201335296132847
"ENSMUSG00000052142",11.0090538532826,2.13748030525977,0.8520996406604,0.000363977399915273,0.0228189793503486
"ENSMUSG00000026832",10.208737895883,3.26102036066427,1.32053587849683,0.000463197104525342,0.0270015470010803
