"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000005268",2524.09794153059,2.00690125838344,0.152354959228274,6.36640475715492e-41,8.4615885627346e-37
"ENSMUSG00000027605",3302.42628006326,-2.03829372068395,0.157243657462104,1.03487451207468e-39,6.8772585699923e-36
"ENSMUSG00000042010",3732.51039545657,-2.44208161903178,0.189211730927426,1.96811084537813e-39,8.71938708197359e-36
"ENSMUSG00000026691",161.90162592824,5.25052932032275,0.492399819563925,1.80007921065162e-27,5.98121319719266e-24
"ENSMUSG00000041220",4178.50511182062,-2.2333949769493,0.221172951216172,2.77766164242775e-25,7.38358017790143e-22
"ENSMUSG00000060317",1347.27158515366,2.46907605570774,0.25269731908797,7.27013581917841e-24,1.61045625287834e-20
"ENSMUSG00000041237",5105.3169308411,-2.04580905807982,0.219318419995135,5.35153939965882e-22,1.01610443086951e-18
"ENSMUSG00000027533",672.035807716626,-4.66247368552516,0.531856301172016,8.71279696820965e-20,1.05274349549522e-16
"ENSMUSG00000073830",98073.9336497205,-2.08818822196845,0.241068133734883,2.25633369640517e-19,2.30684085837854e-16
"ENSMUSG00000025153",17783.819164137,-2.16810167830539,0.263639658966178,9.48516180060329e-18,7.0037380828788e-15
"ENSMUSG00000096674",49211.4249577198,-2.16749454341008,0.268671315170969,3.72544546050635e-17,2.47574478077949e-14
"ENSMUSG00000027577",67.6633649817881,-6.46568709362899,0.808615534143815,6.97448750023846e-16,3.86241305690289e-13
"ENSMUSG00000074240",69.1379000762134,-4.71890076829925,0.626293885700198,3.86094179976653e-15,1.97368374848835e-12
"ENSMUSG00000078687",118.599168177877,-2.6196370318299,0.352370550384358,4.28952446612449e-15,2.05780294552159e-12
"ENSMUSG00000078683",8271.69550604631,-2.01933519647746,0.275203791751332,1.19385970337147e-14,5.47158252327939e-12
"ENSMUSG00000037071",134115.412846586,-3.35353205001762,0.473694000383951,6.25426988821569e-14,2.44486767894926e-11
"ENSMUSG00000079494",280.428778448055,-2.06879237932584,0.298551560746133,2.27159634551291e-13,8.15994244005734e-11
"ENSMUSG00000047767",324.482732237717,-2.27670762018577,0.341061668284997,1.1371728518184e-12,3.77854109337957e-10
"ENSMUSG00000006711",109.697020927444,-3.16247837126841,0.500698651698057,9.20132503183438e-12,2.4958124693492e-09
"ENSMUSG00000041653",153.100775626194,-4.64526637736757,0.738063107081729,1.52398992575846e-11,3.97163727514818e-09
"ENSMUSG00000028051",139.577023403801,-2.88646224570827,0.47817218704123,6.96794572930381e-11,1.65376726228887e-08
