gene_id	gene_name	SAMN36978213_MG	SAMN36978214_MG	SAMN36978215_MG	SAMN36978216_A1G	SAMN36978217_A1G	SAMN36978218_A1G	SAMN36978219_GC	SAMN36978220_GC	SAMN36978221_GC
ENSMUSG00000000001	Gnai3	47.541494	43.504437	47.904391	41.895588	43.393272	43.831256	39.844493	31.451176	25.660122
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	1.052144	0.983096	0.965109	1.271461	1.330168	1.080582	0.453493	0.784654	0.851587
ENSMUSG00000000031	H19	0.253823	0.081121	0.117294	0.188045	0.792479	0.059219	0.42426	0.463239	0.078759
ENSMUSG00000000037	Scml2	0	0	0	0	0	0	0	0	0
ENSMUSG00000000049	Apoh	2633.474646	2636.631007	2561.006908	2057.438266	1983.178935	1911.628987	1642.343057	1521.725042	1419.565398
ENSMUSG00000000056	Narf	9.40767	11.556444	12.288745	10.162212	12.112686	8.921243	10.351847	9.539775	5.3152
ENSMUSG00000000058	Cav2	1.262817	2.306197	2.41856	2.061855	1.729711	2.204322	0.856388	1.909977	1.11885
ENSMUSG00000000078	Klf6	3.257367	2.479088	2.864639	2.500138	2.423358	2.462738	2.23575	1.826255	1.705604
ENSMUSG00000000085	Scmh1	3.66431	2.555974	2.853026	3.093955	2.688706	2.498991	4.667964	2.5528	3.682597
ENSMUSG00000000088	Cox5a	275.797396	315.119031	311.797135	361.504422	389.742566	356.185862	344.25898	403.437812	314.42585
ENSMUSG00000000093	Tbx2	1.060383	1.447255	0.849399	0.706151	0.512005	0.850813	0.722863	0.852828	0.492124
ENSMUSG00000000094	Tbx4	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	1.180215	1.235674	0.824318	1.409625	1.52068	0.90793	1.245658	0.716064	0.447579
ENSMUSG00000000125	Wnt3	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126	Wnt9a	0.400049	0.339779	0.134446	0.28751	0.658847	0.297767	0.217848	0.173266	0.250771
ENSMUSG00000000127	Fer	2.276547	2.05381	1.788273	2.191451	2.377058	1.654471	3.152982	1.721324	1.38398
ENSMUSG00000000131	Xpo6	10.665605	11.700862	12.362591	9.710337	10.658008	12.913444	9.714844	11.588458	10.264497
ENSMUSG00000000134	Tfe3	11.198149	15.131975	14.437079	10.452574	9.488751	15.695214	9.75524	9.506033	7.146726
ENSMUSG00000000142	Axin2	2.779622	1.707667	2.915448	2.462896	2.459355	4.553337	5.214858	4.792323	3.937855
ENSMUSG00000000148	Brat1	4.467173	4.791684	3.775808	4.998659	5.015911	6.425869	4.677269	4.971957	4.10026
ENSMUSG00000000149	Gna12	65.725623	54.288284	43.881316	54.424662	55.688864	45.48184	46.914739	33.821905	28.117483
ENSMUSG00000000154	Slc22a18	79.387898	81.92341	84.254961	80.141968	96.466449	90.123406	52.040727	53.869584	51.431834
ENSMUSG00000000157	Itgb2l	0	0	0	0	0	0	0	0.02045	0.042511
ENSMUSG00000000159	Igsf5	27.418147	21.689877	22.458039	21.001529	21.8327	21.098858	17.917549	19.513897	17.827165
ENSMUSG00000000167	Pih1d2	0.319667	0.318436	1.884311	1.369098	0.635992	0.831073	0.471376	0.433973	1.799192
ENSMUSG00000000168	Dlat	20.752403	26.66845	22.414908	24.991445	19.699807	24.558868	17.162489	35.0549	29.040214
ENSMUSG00000000171	Sdhd	193.175517	197.181121	195.875631	214.519797	231.120337	200.766279	211.081295	223.679396	179.154133
ENSMUSG00000000182	Fgf23	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	1.553915	1.443775	1.596098	1.777306	1.531664	2.240981	1.091307	1.128738	0.753444
ENSMUSG00000000194	Gpr107	5.847648	6.040518	5.315867	7.860553	5.7371	6.169578	6.405362	6.055155	3.976238
ENSMUSG00000000197	Nalcn	0	0	0	0	0	0	0	0	0
ENSMUSG00000000202	Btbd17	0	0	0	0	0	0	0	0	0
ENSMUSG00000000204	Slfn4	0.094393	0.061329	0.025256	0.103258	0.040761	0.038574	0.046497	0.074287	0.032906
ENSMUSG00000000214	Th	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215	Ins2	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0	0	0	0	0	0	0	0	0
ENSMUSG00000000223	Drp2	0	0	0	0	0	0.037331	0	0	0
ENSMUSG00000000244	Tspan32	0	0	0	0.299688	0	0.055142	0	0	0.147401
ENSMUSG00000000247	Lhx2	0.904548	1.271922	0.912911	1.652097	1.971721	1.144101	1.522127	1.719673	1.056591
ENSMUSG00000000248	Clec2g	0	0	0	0	0	0	0.336081	0	0
ENSMUSG00000000253	Gmpr	0.529448	0	0.304703	0.61076	0.577599	0.496361	0.055236	0.668743	0.163763
